Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep    32 |ep_len   27.8 |ep_rew  -0.24 |raw_ep_rew   1.58 |env_step   1000 |time 00:04 rem 28:39
iter   1000 |loss   0.00 |n_ep    64 |ep_len   27.7 |ep_rew  -0.28 |raw_ep_rew   1.26 |env_step   2000 |time 00:08 rem 28:26
iter   1500 |loss   0.00 |n_ep    95 |ep_len   27.1 |ep_rew  -0.32 |raw_ep_rew   1.17 |env_step   3000 |time 00:12 rem 28:35
iter   2000 |loss   0.00 |n_ep   130 |ep_len   30.7 |ep_rew  -0.17 |raw_ep_rew   0.91 |env_step   4000 |time 00:17 rem 28:37
iter   2500 |loss   0.00 |n_ep   156 |ep_len   44.0 |ep_rew   0.19 |raw_ep_rew   1.46 |env_step   5000 |time 00:21 rem 28:27
iter   3000 |loss   0.00 |n_ep   183 |ep_len   36.3 |ep_rew  -0.10 |raw_ep_rew   1.65 |env_step   6000 |time 00:25 rem 28:25
iter   3500 |loss   0.00 |n_ep   215 |ep_len   28.9 |ep_rew  -0.24 |raw_ep_rew   1.34 |env_step   7000 |time 00:30 rem 28:32
iter   4000 |loss   0.00 |n_ep   247 |ep_len   37.2 |ep_rew  -0.05 |raw_ep_rew   1.02 |env_step   8000 |time 00:34 rem 28:32
iter   4500 |loss   0.00 |n_ep   272 |ep_len   36.5 |ep_rew  -0.09 |raw_ep_rew   1.46 |env_step   9000 |time 00:39 rem 28:28
iter   5000 |loss   0.00 |n_ep   302 |ep_len   29.8 |ep_rew  -0.21 |raw_ep_rew   1.40 |env_step  10000 |time 00:43 rem 28:24
iter   5500 |loss   0.00 |n_ep   334 |ep_len   28.9 |ep_rew  -0.24 |raw_ep_rew   1.29 |env_step  11000 |time 00:51 rem 30:28
iter   6000 |loss   0.00 |n_ep   366 |ep_len   31.7 |ep_rew  -0.18 |raw_ep_rew   1.08 |env_step  12000 |time 00:59 rem 32:13
iter   6500 |loss   0.01 |n_ep   394 |ep_len   39.9 |ep_rew   0.11 |raw_ep_rew   1.36 |env_step  13000 |time 01:07 rem 33:37
iter   7000 |loss   0.02 |n_ep   430 |ep_len   26.8 |ep_rew  -0.33 |raw_ep_rew   1.01 |env_step  14000 |time 01:15 rem 34:50
iter   7500 |loss   0.00 |n_ep   454 |ep_len   34.4 |ep_rew  -0.12 |raw_ep_rew   1.45 |env_step  15000 |time 01:23 rem 35:51
