Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter   1000 |loss   0.00 |n_ep    10 |ep_len  158.7 |ep_rew   3.32 |raw_ep_rew  30.60 |env_step   2000 |time 00:08 rem 29:17
iter   1500 |loss   0.00 |n_ep    15 |ep_len  175.7 |ep_rew   3.85 |raw_ep_rew  30.60 |env_step   3000 |time 00:13 rem 28:56
iter   2000 |loss   0.00 |n_ep    20 |ep_len  175.7 |ep_rew   4.11 |raw_ep_rew  31.08 |env_step   4000 |time 00:17 rem 28:47
iter   2500 |loss   0.00 |n_ep    26 |ep_len  181.9 |ep_rew   4.35 |raw_ep_rew  31.08 |env_step   5000 |time 00:21 rem 28:52
iter   3000 |loss   0.00 |n_ep    30 |ep_len  170.3 |ep_rew   3.97 |raw_ep_rew  31.05 |env_step   6000 |time 00:26 rem 28:45
iter   3500 |loss   0.00 |n_ep    36 |ep_len  177.9 |ep_rew   4.10 |raw_ep_rew  31.05 |env_step   7000 |time 00:30 rem 28:43
iter   4000 |loss   0.00 |n_ep    40 |ep_len  176.5 |ep_rew   4.02 |raw_ep_rew  30.82 |env_step   8000 |time 00:35 rem 28:36
iter   4500 |loss   0.00 |n_ep    48 |ep_len  189.1 |ep_rew   4.49 |raw_ep_rew  30.82 |env_step   9000 |time 00:39 rem 28:28
iter   5000 |loss   0.00 |n_ep    52 |ep_len  181.0 |ep_rew   4.21 |raw_ep_rew  30.86 |env_step  10000 |time 00:43 rem 28:28
iter   5500 |loss   0.00 |n_ep    57 |ep_len  194.2 |ep_rew   4.45 |raw_ep_rew  30.86 |env_step  11000 |time 00:52 rem 30:48
iter   6000 |loss   0.00 |n_ep    64 |ep_len  177.9 |ep_rew   3.95 |raw_ep_rew  31.99 |env_step  12000 |time 01:00 rem 32:37
iter   6500 |loss   0.00 |n_ep    70 |ep_len  159.8 |ep_rew   3.55 |raw_ep_rew  29.56 |env_step  13000 |time 01:08 rem 34:09
iter   7000 |loss   0.00 |n_ep    78 |ep_len  149.1 |ep_rew   3.13 |raw_ep_rew  28.01 |env_step  14000 |time 01:17 rem 35:38
iter   7500 |loss   0.01 |n_ep    86 |ep_len  129.6 |ep_rew   2.61 |raw_ep_rew  27.81 |env_step  15000 |time 01:25 rem 36:37
iter   8000 |loss   0.00 |n_ep    97 |ep_len  106.6 |ep_rew   2.01 |raw_ep_rew  24.59 |env_step  16000 |time 01:33 rem 37:32
iter   8500 |loss   0.00 |n_ep   103 |ep_len  121.8 |ep_rew   2.53 |raw_ep_rew  23.71 |env_step  17000 |time 01:41 rem 38:16
iter   9000 |loss   0.00 |n_ep   112 |ep_len  130.7 |ep_rew   2.83 |raw_ep_rew  22.00 |env_step  18000 |time 01:50 rem 38:58
iter   9500 |loss   0.00 |n_ep   119 |ep_len  126.3 |ep_rew   2.59 |raw_ep_rew  21.90 |env_step  19000 |time 01:58 rem 39:31
iter  10000 |loss   0.00 |n_ep   127 |ep_len  128.0 |ep_rew   2.78 |raw_ep_rew  21.46 |env_step  20000 |time 02:06 rem 40:01
iter  10500 |loss   0.00 |n_ep   135 |ep_len  128.3 |ep_rew   2.79 |raw_ep_rew  21.51 |env_step  21000 |time 02:14 rem 40:29
iter  11000 |loss   0.00 |n_ep   139 |ep_len  171.5 |ep_rew   3.88 |raw_ep_rew  20.56 |env_step  22000 |time 02:22 rem 40:51
iter  11500 |loss   0.00 |n_ep   146 |ep_len  162.3 |ep_rew   3.53 |raw_ep_rew  21.40 |env_step  23000 |time 02:31 rem 41:15
iter  12000 |loss   0.00 |n_ep   152 |ep_len  158.9 |ep_rew   3.70 |raw_ep_rew  23.88 |env_step  24000 |time 02:39 rem 41:32
iter  12500 |loss   0.00 |n_ep   159 |ep_len  149.6 |ep_rew   3.47 |raw_ep_rew  24.19 |env_step  25000 |time 02:47 rem 41:47
iter  13000 |loss   0.00 |n_ep   166 |ep_len  159.2 |ep_rew   3.59 |raw_ep_rew  24.27 |env_step  26000 |time 02:55 rem 42:03
iter  13500 |loss   0.00 |n_ep   170 |ep_len  183.8 |ep_rew   4.24 |raw_ep_rew  25.04 |env_step  27000 |time 03:03 rem 42:15
iter  14000 |loss   0.00 |n_ep   175 |ep_len  186.9 |ep_rew   4.32 |raw_ep_rew  25.04 |env_step  28000 |time 03:11 rem 42:28
iter  14500 |loss   0.01 |n_ep   182 |ep_len  162.7 |ep_rew   3.68 |raw_ep_rew  25.58 |env_step  29000 |time 03:19 rem 42:38
iter  15000 |loss   0.00 |n_ep   188 |ep_len  146.9 |ep_rew   3.15 |raw_ep_rew  25.58 |env_step  30000 |time 03:28 rem 42:45
iter  15500 |loss   0.00 |n_ep   192 |ep_len  172.2 |ep_rew   3.87 |raw_ep_rew  24.57 |env_step  31000 |time 03:36 rem 42:53
iter  16000 |loss   0.00 |n_ep   199 |ep_len  178.8 |ep_rew   4.22 |raw_ep_rew  25.21 |env_step  32000 |time 03:44 rem 43:01
iter  16500 |loss   0.00 |n_ep   206 |ep_len  167.0 |ep_rew   3.90 |raw_ep_rew  25.69 |env_step  33000 |time 03:52 rem 43:06
iter  17000 |loss   0.00 |n_ep   213 |ep_len  153.1 |ep_rew   3.67 |raw_ep_rew  25.83 |env_step  34000 |time 04:00 rem 43:12
