Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     0 |ep_len    nan |ep_rew    nan |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 28:30
iter   1000 |loss   0.00 |n_ep     5 |ep_len  462.4 |ep_rew  13.46 |raw_ep_rew    nan |env_step   2000 |time 00:08 rem 28:24
iter   1500 |loss   0.00 |n_ep    10 |ep_len  332.4 |ep_rew   9.62 |raw_ep_rew  57.50 |env_step   3000 |time 00:12 rem 27:57
iter   2000 |loss   0.00 |n_ep    11 |ep_len  372.9 |ep_rew  11.01 |raw_ep_rew  57.50 |env_step   4000 |time 00:16 rem 27:42
iter   2500 |loss   0.00 |n_ep    16 |ep_len  313.8 |ep_rew   9.36 |raw_ep_rew  59.65 |env_step   5000 |time 00:21 rem 27:42
iter   3000 |loss   0.00 |n_ep    19 |ep_len  291.8 |ep_rew   8.39 |raw_ep_rew  59.65 |env_step   6000 |time 00:25 rem 27:33
iter   3500 |loss   0.00 |n_ep    22 |ep_len  359.7 |ep_rew  11.61 |raw_ep_rew  66.09 |env_step   7000 |time 00:29 rem 27:26
iter   4000 |loss   0.00 |n_ep    28 |ep_len  283.6 |ep_rew   8.82 |raw_ep_rew  72.88 |env_step   8000 |time 00:33 rem 27:20
iter   4500 |loss   0.00 |n_ep    28 |ep_len  283.6 |ep_rew   8.82 |raw_ep_rew  72.88 |env_step   9000 |time 00:37 rem 27:18
iter   5000 |loss   0.00 |n_ep    31 |ep_len  328.2 |ep_rew  10.19 |raw_ep_rew  74.79 |env_step  10000 |time 00:42 rem 27:26
iter   5500 |loss   0.00 |n_ep    35 |ep_len  325.4 |ep_rew   9.66 |raw_ep_rew  74.79 |env_step  11000 |time 00:50 rem 29:33
iter   6000 |loss   0.00 |n_ep    39 |ep_len  298.1 |ep_rew   9.15 |raw_ep_rew  80.21 |env_step  12000 |time 00:58 rem 31:18
iter   6500 |loss   0.01 |n_ep    41 |ep_len  327.1 |ep_rew   9.89 |raw_ep_rew  81.09 |env_step  13000 |time 01:06 rem 32:48
iter   7000 |loss   0.01 |n_ep    44 |ep_len  354.0 |ep_rew  10.58 |raw_ep_rew  81.09 |env_step  14000 |time 01:14 rem 34:00
iter   7500 |loss   0.00 |n_ep    52 |ep_len  225.2 |ep_rew   6.83 |raw_ep_rew  82.98 |env_step  15000 |time 01:21 rem 35:02
iter   8000 |loss   0.01 |n_ep    55 |ep_len  242.4 |ep_rew   7.07 |raw_ep_rew  82.98 |env_step  16000 |time 01:29 rem 35:58
iter   8500 |loss   0.00 |n_ep    60 |ep_len  225.3 |ep_rew   6.44 |raw_ep_rew  77.62 |env_step  17000 |time 01:37 rem 36:44
iter   9000 |loss   0.00 |n_ep    62 |ep_len  263.8 |ep_rew   7.39 |raw_ep_rew  77.62 |env_step  18000 |time 01:45 rem 37:25
iter   9500 |loss   0.01 |n_ep    64 |ep_len  279.1 |ep_rew   7.80 |raw_ep_rew  77.62 |env_step  19000 |time 01:53 rem 37:59
iter  10000 |loss   0.00 |n_ep    71 |ep_len  228.8 |ep_rew   6.73 |raw_ep_rew  80.45 |env_step  20000 |time 02:01 rem 38:30
iter  10500 |loss   0.00 |n_ep    72 |ep_len  253.6 |ep_rew   7.41 |raw_ep_rew  80.45 |env_step  21000 |time 02:09 rem 38:59
iter  11000 |loss   0.01 |n_ep    79 |ep_len  236.2 |ep_rew   7.48 |raw_ep_rew  78.70 |env_step  22000 |time 02:17 rem 39:23
iter  11500 |loss   0.00 |n_ep    84 |ep_len  204.8 |ep_rew   7.02 |raw_ep_rew  93.63 |env_step  23000 |time 02:25 rem 39:45
iter  12000 |loss   0.01 |n_ep    86 |ep_len  257.6 |ep_rew   7.98 |raw_ep_rew  93.63 |env_step  24000 |time 02:33 rem 40:04
iter  12500 |loss   0.00 |n_ep    89 |ep_len  269.2 |ep_rew   8.21 |raw_ep_rew  89.47 |env_step  25000 |time 02:41 rem 40:20
iter  13000 |loss   0.00 |n_ep    92 |ep_len  293.0 |ep_rew   9.35 |raw_ep_rew  90.42 |env_step  26000 |time 02:49 rem 40:35
iter  13500 |loss   0.00 |n_ep    95 |ep_len  336.7 |ep_rew  10.65 |raw_ep_rew  90.42 |env_step  27000 |time 02:57 rem 40:49
iter  14000 |loss   0.00 |n_ep    99 |ep_len  280.3 |ep_rew   9.20 |raw_ep_rew  94.58 |env_step  28000 |time 03:05 rem 40:59
iter  14500 |loss   0.00 |n_ep   101 |ep_len  254.2 |ep_rew   8.27 |raw_ep_rew  95.22 |env_step  29000 |time 03:13 rem 41:10
iter  15000 |loss   0.00 |n_ep   106 |ep_len  298.4 |ep_rew   9.60 |raw_ep_rew  95.22 |env_step  30000 |time 03:20 rem 41:18
iter  15500 |loss   0.01 |n_ep   110 |ep_len  241.2 |ep_rew   7.76 |raw_ep_rew  96.16 |env_step  31000 |time 03:28 rem 41:26
iter  16000 |loss   0.00 |n_ep   113 |ep_len  275.7 |ep_rew   8.24 |raw_ep_rew  96.16 |env_step  32000 |time 03:36 rem 41:35
