Namespace(algo='a2c', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=4, parallel_env=0, print_freq=200, replay_size=1000000, save_dir='cartpole_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.01)
observation space: Box(4,)
action space: Discrete(2)
running on device cpu
obses on reset: 4 x (4,) float32
iter    200 |loss   1.00 |n_ep    37 |ep_len   18.8 |ep_rew  18.76 |raw_ep_rew  18.76 |env_step    800 |time 00:00 rem 00:06
iter    400 |loss   0.79 |n_ep    74 |ep_len   20.1 |ep_rew  20.14 |raw_ep_rew  20.14 |env_step   1600 |time 00:00 rem 00:05
iter    600 |loss   0.71 |n_ep   101 |ep_len   28.7 |ep_rew  28.66 |raw_ep_rew  28.66 |env_step   2400 |time 00:00 rem 00:05
iter    800 |loss   1.02 |n_ep   129 |ep_len   27.0 |ep_rew  27.03 |raw_ep_rew  27.03 |env_step   3200 |time 00:00 rem 00:04
iter   1000 |loss   1.02 |n_ep   151 |ep_len   39.2 |ep_rew  39.23 |raw_ep_rew  39.23 |env_step   4000 |time 00:00 rem 00:04
iter   1200 |loss   0.77 |n_ep   173 |ep_len   36.3 |ep_rew  36.27 |raw_ep_rew  36.27 |env_step   4800 |time 00:00 rem 00:04
iter   1400 |loss   0.84 |n_ep   195 |ep_len   36.3 |ep_rew  36.29 |raw_ep_rew  36.29 |env_step   5600 |time 00:00 rem 00:04
iter   1600 |loss   0.97 |n_ep   214 |ep_len   35.1 |ep_rew  35.09 |raw_ep_rew  35.09 |env_step   6400 |time 00:00 rem 00:04
iter   1800 |loss   0.82 |n_ep   236 |ep_len   36.4 |ep_rew  36.40 |raw_ep_rew  36.40 |env_step   7200 |time 00:00 rem 00:04
iter   2000 |loss   0.65 |n_ep   262 |ep_len   27.1 |ep_rew  27.14 |raw_ep_rew  27.14 |env_step   8000 |time 00:01 rem 00:04
iter   2200 |loss   0.65 |n_ep   281 |ep_len   38.4 |ep_rew  38.38 |raw_ep_rew  38.38 |env_step   8800 |time 00:01 rem 00:04
iter   2400 |loss   0.68 |n_ep   299 |ep_len   39.6 |ep_rew  39.63 |raw_ep_rew  39.63 |env_step   9600 |time 00:01 rem 00:03
