Namespace(algo='dqn', batch_size=64, checkpoint_freq=20000, discount=0.996, ent_coef=0.01, env='CartPole-v1', eps_decay=4000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.001, niter=10000, nproc=2, parallel_env=0, print_freq=200, replay_size=20000, save_dir='cartpole_dqn/', target_update=1000, train_freq=1, train_start=100, value_coef=0.5)
observation space: Box(4,)
action space: Discrete(2)
running on device cuda
obses on reset: 2 x (4,) float32
iter    200 |loss   0.01 |n_ep    20 |ep_len   19.6 |ep_rew  19.60 |raw_ep_rew  19.60 |env_step    400 |time 00:00 rem 00:47
iter    400 |loss   0.00 |n_ep    39 |ep_len   20.9 |ep_rew  20.89 |raw_ep_rew  20.89 |env_step    800 |time 00:02 rem 01:01
iter    600 |loss   0.00 |n_ep    59 |ep_len   20.9 |ep_rew  20.94 |raw_ep_rew  20.94 |env_step   1200 |time 00:04 rem 01:04
iter    800 |loss   0.00 |n_ep    79 |ep_len   18.9 |ep_rew  18.89 |raw_ep_rew  18.89 |env_step   1600 |time 00:05 rem 01:05
iter   1000 |loss   0.00 |n_ep    99 |ep_len   19.1 |ep_rew  19.08 |raw_ep_rew  19.08 |env_step   2000 |time 00:07 rem 01:05
iter   1200 |loss   0.02 |n_ep   120 |ep_len   19.1 |ep_rew  19.13 |raw_ep_rew  19.13 |env_step   2400 |time 00:08 rem 01:04
iter   1400 |loss   0.03 |n_ep   138 |ep_len   22.5 |ep_rew  22.53 |raw_ep_rew  22.53 |env_step   2800 |time 00:10 rem 01:03
iter   1600 |loss   0.02 |n_ep   163 |ep_len   15.7 |ep_rew  15.69 |raw_ep_rew  15.69 |env_step   3200 |time 00:11 rem 01:02
iter   1800 |loss   0.02 |n_ep   190 |ep_len   14.9 |ep_rew  14.94 |raw_ep_rew  14.94 |env_step   3600 |time 00:13 rem 01:01
iter   2000 |loss   0.03 |n_ep   214 |ep_len   17.6 |ep_rew  17.58 |raw_ep_rew  17.58 |env_step   4000 |time 00:15 rem 01:00
iter   2200 |loss   0.03 |n_ep   237 |ep_len   17.5 |ep_rew  17.50 |raw_ep_rew  17.50 |env_step   4400 |time 00:16 rem 00:59
iter   2400 |loss   0.03 |n_ep   249 |ep_len   29.5 |ep_rew  29.47 |raw_ep_rew  29.47 |env_step   4800 |time 00:18 rem 00:58
iter   2600 |loss   0.03 |n_ep   267 |ep_len   23.2 |ep_rew  23.21 |raw_ep_rew  23.21 |env_step   5200 |time 00:20 rem 00:56
iter   2800 |loss   0.02 |n_ep   280 |ep_len   33.5 |ep_rew  33.50 |raw_ep_rew  33.50 |env_step   5600 |time 00:21 rem 00:55
iter   3000 |loss   0.02 |n_ep   293 |ep_len   33.2 |ep_rew  33.17 |raw_ep_rew  33.17 |env_step   6000 |time 00:23 rem 00:54
iter   3200 |loss   0.04 |n_ep   300 |ep_len   35.6 |ep_rew  35.65 |raw_ep_rew  35.65 |env_step   6400 |time 00:25 rem 00:53
iter   3400 |loss   0.02 |n_ep   304 |ep_len   58.1 |ep_rew  58.14 |raw_ep_rew  58.14 |env_step   6800 |time 00:26 rem 00:52
iter   3600 |loss   0.05 |n_ep   308 |ep_len   78.3 |ep_rew  78.26 |raw_ep_rew  78.26 |env_step   7200 |time 00:28 rem 00:50
